row_type,family,lr,seed,metric,ring_off_value,ring_on_value,delta_on_minus_off,ring_off_mean,ring_off_sample_sd,ring_on_mean,ring_on_sample_sd,mean_paired_delta,paired_delta_sample_sd,ring_off_run_id,ring_on_run_id
two_seed_summary,GVP + late fusion,3e-05,,recall_Zn,,,,0.84375,0.0,0.84375,0.0,0.0,0.0,,
two_seed_summary,GVP + late fusion,3e-05,,recall_Class VIII,,,,0.6015625,0.05524271728019903,0.6015625,0.05524271728019903,0.0,0.0,,
paired_seed,GVP + late fusion,0.0001,42,balanced_accuracy,0.723120704467354,0.723120704467354,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s42,LATE_LATE_ring1_lr0.0001_s42
paired_seed,GVP + late fusion,0.0001,42,recall_Mn,0.7216494845360825,0.7216494845360825,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s42,LATE_LATE_ring1_lr0.0001_s42
paired_seed,GVP + late fusion,0.0001,42,recall_Cu,0.7333333333333333,0.7333333333333333,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s42,LATE_LATE_ring1_lr0.0001_s42
paired_seed,GVP + late fusion,0.0001,42,recall_Zn,0.875,0.875,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s42,LATE_LATE_ring1_lr0.0001_s42
paired_seed,GVP + late fusion,0.0001,42,recall_Class VIII,0.5625,0.5625,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s42,LATE_LATE_ring1_lr0.0001_s42
paired_seed,GVP + late fusion,0.0001,43,balanced_accuracy,0.7256174828178694,0.7256174828178694,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s43,LATE_LATE_ring1_lr0.0001_s43
paired_seed,GVP + late fusion,0.0001,43,recall_Mn,0.7628865979381443,0.7628865979381443,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s43,LATE_LATE_ring1_lr0.0001_s43
paired_seed,GVP + late fusion,0.0001,43,recall_Cu,0.7333333333333333,0.7333333333333333,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s43,LATE_LATE_ring1_lr0.0001_s43
paired_seed,GVP + late fusion,0.0001,43,recall_Zn,0.75,0.75,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s43,LATE_LATE_ring1_lr0.0001_s43
paired_seed,GVP + late fusion,0.0001,43,recall_Class VIII,0.65625,0.65625,0.0,,,,,,,LATE_LATE_ring0_lr0.0001_s43,LATE_LATE_ring1_lr0.0001_s43
two_seed_summary,GVP + late fusion,0.0001,,balanced_accuracy,,,,0.7243690936426117,0.0017654889027692213,0.7243690936426117,0.0017654889027692213,0.0,0.0,,
two_seed_summary,GVP + late fusion,0.0001,,recall_Mn,,,,0.7422680412371134,0.029159042523156573,0.7422680412371134,0.029159042523156573,0.0,0.0,,
two_seed_summary,GVP + late fusion,0.0001,,recall_Cu,,,,0.7333333333333333,0.0,0.7333333333333333,0.0,0.0,0.0,,
two_seed_summary,GVP + late fusion,0.0001,,recall_Zn,,,,0.8125,0.08838834764831845,0.8125,0.08838834764831845,0.0,0.0,,
two_seed_summary,GVP + late fusion,0.0001,,recall_Class VIII,,,,0.609375,0.06629126073623882,0.609375,0.06629126073623882,0.0,0.0,,
